date,portfolio_value,sp500_close
2026-07-24,50062.03,7447.22998046875
2026-07-25,49948.15,
2026-07-26,49948.15,
2026-07-27,50722.38,7413.18017578125
2026-07-28,51162.72,7428.77978515625
2026-07-29,50993.59,7316.14990234375
